TDT,Year,first rise,first drop
A1,2016,10-24-2016,03-29-2016
A1,2017,11-20-2017,05-04-2017
A1,2018,11-22-2018,05-27-2018
A1,2019,12-07-2019,06-11-2019
A1,2020,12-17-2020,04-25-2020
A1,2021,10-22-2021,03-22-2021
A2,2016,10-14-2016,04-25-2016
A2,2017,11-16-2017,04-26-2017
A2,2018,12-10-2018,05-03-2018
A2,2019,01-16-2020,06-11-2019
A2,2020,01-13-2021,04-05-2020
A2,2021,10-22-2021,04-16-2021
A3,2016,11-01-2016,06-06-2016
A3,2017,01-21-2018,06-22-2017
A3,2018,12-17-2018,06-18-2018
A3,2019,01-17-2020,06-13-2019
A3,2020,01-13-2021,05-10-2020
A3,2021,10-24-2021,05-13-2021
A4,2016,10-30-2016,07-03-2016
A4,2017,11-07-2017,07-08-2017
A4,2018,11-28-2018,07-05-2018
A4,2019,12-24-2019,07-19-2019
A4,2020,01-07-2021,07-08-2020
A4,2021,10-24-2021,05-11-2021
A5,2016,11-24-2016,06-28-2016
A5,2017,12-19-2017,06-27-2017
A5,2018,12-27-2018,06-26-2018
A5,2019,01-21-2019,07-16-2019
A5,2020,01-31-2021,07-02-2020
A5,2021,12-15-2021,05-28-2021
A6,2016,11-01-2016,08-06-2016
A6,2017,12-19-2017,08-05-2017
A6,2018,01-06-2019,07-25-2018
A6,2019,01-27-2020,08-15-2019
A6,2020,02-16-2021,08-03-2020
A6,2021,12-16-2021,07-14-2021
A7,2016,11-07-2016,04-22-2016
A7,2017,01-15-2018,08-05-2017
A7,2018,12-31-2018,06-17-2018
A7,2019,01-27-2020,07-17-2019
A7,2020,01-31-2021,07-01-2020
A7,2021,11-13-2021,07-06-2021
A8,2016,unclear,unclear
A8,2017,unclear,unclear
A8,2018,unclear,unclear
A8,2019,unclear,unclear
A8,2020,01-30-2021,11-08-2020
A8,2021,11-11-2021,08-24-2021
A9,2016,unclear,unclear
A9,2017,unclear,unclear
A9,2018,unclear,unclear
A9,2019,01-12-2020,05-26-2019
A9,2020,01-27-2021,10-12-2020
A9,2021,11-06-2021,04-04-2021
A10,2016,unclear,unclear
A10,2017,unclear,unclear
A10,2018,unclear,unclear
A10,2019,12-30-2019,08-02-2019
A10,2020,01-18-2021,06-05-2020
A10,2021,11-04-2021,05-12-2021
