TDT,Year,Firstrise,Firstdecline,yval
A1,2016,10/24/2016,3/29/2016,1
A1,2017,11/20/2017,5/4/2017,2
A1,2018,11/22/2018,5/27/2018,3
A1,2019,12/7/2019,6/11/2019,4
A1,2020,12/17/2020,4/25/2020,5
A1,2021,10/22/2021,3/22/2021,6
A2,2016,10/14/2016,4/25/2016,1
A2,2017,11/16/2017,4/26/2017,2
A2,2018,12/10/2018,5/3/2018,3
A2,2019,1/16/2020,6/11/2019,4
A2,2020,1/13/2021,4/5/2020,5
A2,2021,10/22/2021,4/16/2021,6
A3,2016,11/1/2016,6/6/2016,1
A3,2017,1/21/2018,6/22/2017,2
A3,2018,12/17/2018,6/18/2018,3
A3,2019,1/17/2020,6/13/2019,4
A3,2020,1/13/2021,5/10/2020,5
A3,2021,10/24/2021,5/13/2021,6
A4,2016,10/30/2016,7/3/2016,1
A4,2017,11/7/2017,7/8/2017,2
A4,2018,11/28/2018,7/5/2018,3
A4,2019,12/24/2019,7/19/2019,4
A4,2020,1/7/2021,7/8/2020,5
A4,2021,10/24/2021,5/11/2021,6
A5,2016,11/24/2016,6/28/2016,1
A5,2017,12/19/2017,6/27/2017,2
A5,2018,12/27/2018,6/26/2018,3
A5,2019,1/21/2019,7/16/2019,4
A5,2020,1/31/2021,7/2/2020,5
A5,2021,12/15/2021,5/28/2021,6
A6,2016,11/1/2016,8/6/2016,1
A6,2017,12/19/2017,8/5/2017,2
A6,2018,1/6/2019,7/25/2018,3
A6,2019,1/27/2020,8/15/2019,4
A6,2020,2/16/2021,8/3/2020,5
A6,2021,12/16/2021,7/14/2021,6
A7,2016,11/7/2016,4/22/2016,1
A7,2017,1/15/2018,8/5/2017,2
A7,2018,12/31/2018,6/17/2018,3
A7,2019,1/27/2020,7/17/2019,4
A7,2020,1/31/2021,7/1/2020,5
A7,2021,11/13/2021,7/6/2021,6
